x,m,y,n,w,n,z,p,y,w,n,w,z
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:4,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:4,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:4,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:4,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:5,isExecutable,CH.ifa.draw.figures.GroupCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:5,CH.ifa.draw.figures.GroupCommand:1,isExecutable,CH.ifa.draw.figures.GroupCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:5,isExecutable,CH.ifa.draw.figures.UngroupCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:5,CH.ifa.draw.figures.UngroupCommand:1,isExecutable,CH.ifa.draw.figures.UngroupCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:5,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:5,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:5,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:5,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:6,isExecutable,CH.ifa.draw.figures.GroupCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:6,CH.ifa.draw.figures.GroupCommand:1,isExecutable,CH.ifa.draw.figures.GroupCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:6,isExecutable,CH.ifa.draw.figures.UngroupCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:6,CH.ifa.draw.figures.UngroupCommand:1,isExecutable,CH.ifa.draw.figures.UngroupCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:6,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:6,CH.ifa.draw.standard.BringToFrontCommand:1,isExecutable,CH.ifa.draw.standard.BringToFrontCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.util.CommandMenu:2,checkEnabled,CH.ifa.draw.standard.AlignCommand:6,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.StandardDrawingView:1,selectionCount,CH.ifa.draw.standard.AlignCommand:6,CH.ifa.draw.standard.SendToBackCommand:1,isExecutable,CH.ifa.draw.standard.SendToBackCommand:1,CH.ifa.draw.standard.StandardDrawingView:1
