x,m,y,n,y,n,z,q,y,n,y,p,z,w,q
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFillColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:7,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFrameColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:2,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFrameColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:4,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFrameColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:5,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFrameColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:6,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.TextFigure:3,drawFrame,CH.ifa.draw.figures.AttributeFigure:3,draw,CH.ifa.draw.figures.AttributeFigure:3,getFrameColor,CH.ifa.draw.figures.TextFigure:3,CH.ifa.draw.figures.TextFigure:7,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFillColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:2,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFillColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:3,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFillColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:5,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFillColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:6,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFillColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:7,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFrameColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:2,drawFrame
CH.ifa.draw.standard.CompositeFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.TextFigure:4,drawFrame,CH.ifa.draw.figures.AttributeFigure:4,draw,CH.ifa.draw.figures.AttributeFigure:4,getFrameColor,CH.ifa.draw.figures.TextFigure:4,CH.ifa.draw.figures.TextFigure:3,drawFrame
